k,dimension,epoch,fonction de similarite,qualite
30,2,100,"similarite_trajectoires_JACCARD_cosinus",0.32091097308488614
40,2,100,"similarite_trajectoires_JACCARD_cosinus",0.3184265010351967
50,2,100,"similarite_trajectoires_JACCARD_cosinus",0.3188405797101449
1,3,5,"similarite_trajectoires_MRR_cosinus",0.2496894409937888
2,3,5,"similarite_trajectoires_MRR_cosinus",0.2496894409937888
3,3,5,"similarite_trajectoires_MRR_cosinus",0.25838509316770186
4,3,5,"similarite_trajectoires_MRR_cosinus",0.26583850931677017
5,3,5,"similarite_trajectoires_MRR_cosinus",0.2732919254658385
6,3,5,"similarite_trajectoires_MRR_cosinus",0.27867494824016564
8,3,5,"similarite_trajectoires_MRR_cosinus",0.29648033126293993
10,3,5,"similarite_trajectoires_MRR_cosinus",0.30890269151138716
12,3,5,"similarite_trajectoires_MRR_cosinus",0.3134575569358178
15,3,5,"similarite_trajectoires_MRR_cosinus",0.3213250517598344
20,3,5,"similarite_trajectoires_MRR_cosinus",0.3242236024844721
25,3,5,"similarite_trajectoires_MRR_cosinus",0.3250517598343685
30,3,5,"similarite_trajectoires_MRR_cosinus",0.3242236024844721
40,3,5,"similarite_trajectoires_MRR_cosinus",0.3238095238095238
50,3,5,"similarite_trajectoires_MRR_cosinus",0.3233954451345756
1,3,5,"similarite_trajectoires_JACCARD_cosinus",0.24803312629399585
2,3,5,"similarite_trajectoires_JACCARD_cosinus",0.2496894409937888
3,3,5,"similarite_trajectoires_JACCARD_cosinus",0.2554865424430642
4,3,5,"similarite_trajectoires_JACCARD_cosinus",0.26128364389233955
5,3,5,"similarite_trajectoires_JACCARD_cosinus",0.2699792960662526
6,3,5,"similarite_trajectoires_JACCARD_cosinus",0.27701863354037265
8,3,5,"similarite_trajectoires_JACCARD_cosinus",0.2902691511387164
10,3,5,"similarite_trajectoires_JACCARD_cosinus",0.3047619047619048
12,3,5,"similarite_trajectoires_JACCARD_cosinus",0.3093167701863354
15,3,5,"similarite_trajectoires_JACCARD_cosinus",0.3130434782608696
20,3,5,"similarite_trajectoires_JACCARD_cosinus",0.315527950310559
25,3,5,"similarite_trajectoires_JACCARD_cosinus",0.3167701863354037
30,3,5,"similarite_trajectoires_JACCARD_cosinus",0.315527950310559
40,3,5,"similarite_trajectoires_JACCARD_cosinus",0.31635610766045547
50,3,5,"similarite_trajectoires_JACCARD_cosinus",0.3167701863354037
1,3,7,"similarite_trajectoires_MRR_cosinus",0.2422360248447205
2,3,7,"similarite_trajectoires_MRR_cosinus",0.2422360248447205
3,3,7,"similarite_trajectoires_MRR_cosinus",0.25093167701863356
4,3,7,"similarite_trajectoires_MRR_cosinus",0.25838509316770186
5,3,7,"similarite_trajectoires_MRR_cosinus",0.26873706004140785
6,3,7,"similarite_trajectoires_MRR_cosinus",0.2815734989648033
8,3,7,"similarite_trajectoires_MRR_cosinus",0.30144927536231886
10,3,7,"similarite_trajectoires_MRR_cosinus",0.3072463768115942
